filename	ontology_term
G79678_5x_RD11_01_19514.mzXML	meat
G79678_5x_RD11_01_19514.mzXML	animal
G79679_5x_RB11_01_19483.mzXML	salami
G79679_5x_RB11_01_19483.mzXML	pork
G79679_5x_RB11_01_19483.mzXML	pig
G79679_5x_RB11_01_19483.mzXML	meat
G79679_5x_RB11_01_19483.mzXML	animal
G75798_5x_BA9_01_19245.mzXML	lizard head
G75798_5x_BA9_01_19245.mzXML	lizard
G75798_5x_BA9_01_19245.mzXML	reptile
G75798_5x_BA9_01_19245.mzXML	animal
G78910_1x_RC5_01_18816.mzXML	green tomato
G78910_1x_RC5_01_18816.mzXML	tomato
G78910_1x_RC5_01_18816.mzXML	berry
G78910_1x_RC5_01_18816.mzXML	fleshy fruit
G78910_1x_RC5_01_18816.mzXML	fruit
G78910_1x_RC5_01_18816.mzXML	plant
G79502_1x_RH10_01_20367.mzXML	collard greens
G79502_1x_RH10_01_20367.mzXML	vegetable
G79502_1x_RH10_01_20367.mzXML	vegetable/herb
G79502_1x_RH10_01_20367.mzXML	plant
G75710_RD6_01_17575.mzXML	short grain brown rice
G75710_RD6_01_17575.mzXML	brown rice
G75710_RD6_01_17575.mzXML	rice
G75710_RD6_01_17575.mzXML	grain/grass
G75710_RD6_01_17575.mzXML	fruit
G75710_RD6_01_17575.mzXML	plant
G75717_RB9_01_17544.mzXML	short grain brown rice
G75717_RB9_01_17544.mzXML	brown rice
G75717_RB9_01_17544.mzXML	rice
G75717_RB9_01_17544.mzXML	grain/grass
G75717_RB9_01_17544.mzXML	fruit
G75717_RB9_01_17544.mzXML	plant
G75779_1x_RH8_01_18600.mzXML	sauvignon blanc, white
G75779_1x_RH8_01_18600.mzXML	white wine
G75779_1x_RH8_01_18600.mzXML	grape_fermented
G75779_1x_RH8_01_18600.mzXML	grape
G75779_1x_RH8_01_18600.mzXML	berry
G75779_1x_RH8_01_18600.mzXML	fleshy fruit
G75779_1x_RH8_01_18600.mzXML	fruit
G75779_1x_RH8_01_18600.mzXML	plant
G75611_BA9_01_18917.mzXML	morel
G75611_BA9_01_18917.mzXML	mushroom
G75611_BA9_01_18917.mzXML	fungi
G87435_1x_rerun_BE12_01_26151.mzXML	silkworm
G87435_1x_rerun_BE12_01_26151.mzXML	worm
